k,fee,max_slippage,num_hybrid_agents,fundamental_file_path,seed,effect_type,hybrid_spread_mean,hybrid_depth_mean,hybrid_volume_mean,original_spread_mean,original_depth_mean,original_volume_mean,spread_mean,spread_t,spread_p,depth_mean,depth_t,depth_p,volume_mean,volume_t,volume_p
1000000000.0,0.001,0.01,100,data/ETH1.xlsx,5678,混合效应,-36.305581535334085,452.67595756004135,457.24666666666667,1.3683333333333334,668.2433333333333,308.7966666666667,-37.67391486866742,-28.635814965453232,2.8268372045296936e-114,-215.567375773292,-14.632927004153721,1.1178997815129124e-41,148.45,5.062447161554261,5.516031380901605e-07
1000000000.0,0.001,0.01,100,data/ETH1.xlsx,91011,混合效应,-34.52774307619554,430.23375007711394,444.5366666666667,1.3683333333333334,668.2433333333333,308.7966666666667,-35.896076409528874,-26.993166437306478,1.3194455548371023e-105,-238.00958325621934,-13.437316695943395,3.6177615320858733e-36,135.74,5.917345730595263,5.5069018550779545e-09
1000000000.0,0.001,0.01,100,data/ETH1.xlsx,12314,混合效应,-36.10819207793982,341.66874555055557,392.2033333333333,1.3683333333333334,668.2433333333333,308.7966666666667,-37.47652541127315,-31.278626842074445,4.742323417482669e-128,-326.5745877827779,-29.203945026924817,2.9512307508383164e-117,83.40666666666667,3.6956069405218006,0.00023946882618467566
1000000000.0,0.001,0.01,100,data/BIT.xlsx,5678,混合效应,-64449.96463580635,607.8012249774732,320.86333333333334,1.3683333333333334,668.2433333333333,308.7966666666667,-64451.33296913968,-35.17645355068328,7.59923474070372e-148,-60.442108355860135,-5.132544793692023,3.8686625268022975e-07,12.066666666666666,0.5262385099758288,0.5989172841624861
1000000000.0,0.001,0.01,100,data/BIT.xlsx,91011,混合效应,-61196.94670116169,587.441317040627,286.755,1.3683333333333334,668.2433333333333,308.7966666666667,-61198.31503449502,-34.01065942317536,5.344439455707747e-142,-80.80201629270626,-7.012840416716347,6.325726253551934e-12,-22.041666666666668,-4.107516156354936,4.5556285359773235e-05
1000000000.0,0.001,0.01,100,data/BIT.xlsx,12314,混合效应,-60031.45918337844,634.0890435343698,311.26666666666665,1.3683333333333334,668.2433333333333,308.7966666666667,-60032.827516711775,-31.834062749203508,6.51760997730094e-131,-34.154289798963646,-2.8116702651173333,0.005089861295664769,2.47,0.12166927370533823,0.9032017531029441
1000000000.0,0.001,0.01,133,data/ETH1.xlsx,5678,混合效应,-27.816466450988557,1569.5178050227767,724.63,1.3683333333333334,668.2433333333333,308.7966666666667,-29.18479978432189,-20.932568659357408,1.9549496182990972e-73,901.2744716894432,5.247191856780254,2.1463456186087824e-07,415.8333333333333,1.3604173976979077,0.17420957876274057
1000000000.0,0.001,0.01,133,data/ETH1.xlsx,91011,混合效应,-35.70191899795886,402.8793451026757,489.20666666666665,1.3683333333333334,668.2433333333333,308.7966666666667,-37.070252331292195,-28.118411622855646,1.4947843277550017e-111,-265.3639882306576,-16.07965358644523,1.2562362978462633e-48,180.41,4.924000074888618,1.0980008365544425e-06
1000000000.0,0.001,0.01,133,data/ETH1.xlsx,12314,混合效应,-35.519215845438914,421.87131859483594,484.40833333333336,1.3683333333333334,668.2433333333333,308.7966666666667,-36.88754917877225,-27.706994593172517,2.2134781000498204e-109,-246.37201473849737,-17.160376407876292,5.523873012943638e-54,175.61166666666668,4.819187946830357,1.8290810170477045e-06
1000000000.0,0.001,0.01,133,data/BIT.xlsx,5678,混合效应,-52704.51189280188,643.0507328123862,316.5283333333333,1.3683333333333334,668.2433333333333,308.7966666666667,-52705.88022613521,-26.586415410022166,1.8891155089488748e-103,-25.192600520947146,-1.7853532728759445,0.07470988921208235,7.7316666666666665,0.45236597585849003,0.6511691316138649
1000000000.0,0.001,0.01,133,data/BIT.xlsx,91011,混合效应,-45163.765451275314,571.5584808934697,286.115,1.3683333333333334,668.2433333333333,308.7966666666667,-45165.133784608646,-23.265610318521887,8.658558089993458e-86,-96.68485243986366,-8.248892396006037,1.017664377785517e-15,-22.68166666666667,-4.128941086288218,4.161952771440909e-05
1000000000.0,0.001,0.01,133,data/BIT.xlsx,12314,混合效应,-49340.18098061801,590.6299375552915,317.75166666666667,1.3683333333333334,668.2433333333333,308.7966666666667,-49341.54931395135,-25.13043028360899,1.0304494048280282e-95,-77.61339577804185,-7.278649661595591,1.0634378120407782e-12,8.955,0.3786369579753143,0.7050916351255656
1000000000.0,0.001,0.01,166,data/ETH1.xlsx,5678,混合效应,-35.07547129148462,442.17856525967676,502.5966666666667,1.3683333333333334,668.2433333333333,308.7966666666667,-36.44380462481795,-25.260437607458325,2.095584313260668e-96,-226.0647680736566,-13.595105207013427,6.996136040779518e-37,193.8,8.955249509876097,4.250364396287017e-18
1000000000.0,0.001,0.01,166,data/ETH1.xlsx,91011,混合效应,-37.241954885304736,605.1890268734148,552.68,1.3683333333333334,668.2433333333333,308.7966666666667,-38.61028821863807,-26.381141696803518,2.3192662560280078e-102,-63.054306459918514,-1.9326389592214275,0.05375177706959389,243.88333333333333,6.13962114566785,1.5063901074226345e-09
1000000000.0,0.001,0.01,166,data/ETH1.xlsx,12314,混合效应,-28.941931881486806,617.649633946537,536.905,1.3683333333333334,668.2433333333333,308.7966666666667,-30.310265214820138,-22.647550606379237,1.665388531322387e-82,-50.59369938679629,-1.2658681561349314,0.20605240157456742,228.10833333333332,6.081234266496337,2.1256818848270966e-09
1000000000.0,0.001,0.01,166,data/BIT.xlsx,5678,混合效应,-46457.4759725393,619.4333566003438,300.99833333333333,1.3683333333333334,668.2433333333333,308.7966666666667,-46458.84430587263,-23.439596847028852,1.0283005591042816e-86,-48.80997673298955,-3.7559421037322243,0.00018955063263690356,-7.798333333333333,-2.0939022052498726,0.03668845540026142
1000000000.0,0.001,0.01,166,data/BIT.xlsx,91011,混合效应,-38905.360189333805,667.3730000750951,305.77666666666664,1.3683333333333334,668.2433333333333,308.7966666666667,-38906.72852266714,-20.43985118772089,7.56901775939706e-71,-0.8703332582382245,-0.04652544825388344,0.9629069580602286,-3.02,-0.20538249058607452,0.8373430753091895
