EventTime,Δspread,Δdepth,Δvolume
2025-10-28 09:31:45,0.0,-904.0,-34.0
2025-10-28 09:31:46,0.0,921.0,-44.0
2025-10-28 09:31:47,1.0,-1401.0,134.0
2025-10-28 09:31:48,0.0,-1366.0,-59.0
2025-10-28 09:31:49,0.0,-1307.0,-4.0
2025-10-28 09:31:50,0.0,-101971.0,109.0
2025-10-28 09:31:51,-3.0,-67.0,-50.0
2025-10-28 09:31:52,0.0,99756.0,109.0
2025-10-28 09:31:53,0.0,99175.0,27.0
2025-10-28 09:31:54,0.0,-751.0,218.0
2025-10-28 09:31:55,0.0,-694.0,-23.0
2025-10-28 09:31:56,0.0,-522.0,-133.0
2025-10-28 09:31:57,0.0,-486.0,75.0
2025-10-28 09:31:58,0.0,-509.0,67.0
2025-10-28 09:31:59,0.0,-412.0,13.0
2025-10-28 09:32:00,-1.0,-633.0,58.0
2025-10-28 09:32:01,0.0,200.0,163.0
2025-10-28 09:32:02,0.0,100241.0,220.0
2025-10-28 09:32:03,0.0,-3.0,74.0
2025-10-28 09:32:04,0.0,-90.0,110.0
2025-10-28 09:32:05,0.0,100163.0,-109.0
2025-10-28 09:32:06,1.0,100129.0,43.0
2025-10-28 09:32:07,0.0,100296.0,-148.0
2025-10-28 09:32:08,0.0,100475.0,-76.0
2025-10-28 09:32:09,0.0,100444.0,35.0
2025-10-28 09:32:10,0.0,50250.0,121.0
2025-10-28 09:32:11,0.0,275.0,-205.0
2025-10-28 09:32:12,0.0,287.0,-109.0
2025-10-28 09:32:13,0.0,61.0,178.0
2025-10-28 09:32:14,4.0,276.0,-180.0
2025-10-28 09:32:15,0.0,253.0,-192.0
2025-10-28 09:32:16,-2.0,-16.0,-87.0
2025-10-28 09:32:17,0.0,140.0,55.0
2025-10-28 09:32:18,0.0,8.0,36.0
2025-10-28 09:32:19,0.0,-110.0,32.0
2025-10-28 09:32:20,0.0,-30.0,-10.0
2025-10-28 09:32:21,0.0,-684.0,11.0
2025-10-28 09:32:22,0.0,-100952.0,104.0
2025-10-28 09:32:23,0.0,-100767.0,-45.0
2025-10-28 09:32:24,0.0,-100889.0,155.0
2025-10-28 09:32:25,0.0,-100623.0,-66.0
2025-10-28 09:32:26,0.0,-102511.0,19.0
2025-10-28 09:32:27,0.0,-555.0,94.0
2025-10-28 09:32:28,4.0,-100746.0,7.0
2025-10-28 09:32:29,0.0,-100348.0,-183.0
2025-10-28 09:32:30,0.0,842.0,-4.0
2025-10-28 09:32:31,0.0,876.0,73.0
2025-10-28 09:32:32,0.0,408.0,175.0
2025-10-28 09:32:33,0.0,570.0,-85.0
2025-10-28 09:32:34,0.0,326.0,65.0
