,train_rmse,test_rmse,train_r2,test_r2,test_mae,cv_r2
spread_mean,16.42097040751308,21.128026054528615,0.7709296677320182,0.6153139446036608,14.848677608516525,0.6243274780731013
depth_mean,60.24691843551782,78.19000696625515,0.4622487459762884,0.23799078880600977,62.448539803033086,0.21526760546578916
volume_mean,34.4396281594599,54.684062865148505,0.7732938418564954,0.44980492356052737,42.20997774060779,0.4113398536816063
