EventTime,Δspread,Δdepth,Δvolume
2025-10-28 09:30:01,-110590.49649649649,-1239.6547751617516,14322.0
2025-10-28 09:30:02,-110588.49649649649,-1308.6547751617516,4.0
2025-10-28 09:30:03,-110588.49649649649,-1254.6547751617516,-52.0
2025-10-28 09:30:04,-110588.49649649649,-1272.6547751617516,54.0
2025-10-28 09:30:05,-110577.49649649649,-1176.6547751617516,-196.0
2025-10-28 09:30:06,-110586.49649649649,-1038.6547751617516,-135.0
2025-10-28 09:30:07,-110586.49649649649,-1016.6547751617516,-21.0
2025-10-28 09:30:08,-110586.49649649649,-1032.6547751617516,152.0
2025-10-28 09:30:09,-110581.49649649649,-945.6547751617516,-10.0
2025-10-28 09:30:10,-110583.49649649649,-803.6547751617516,8.0
2025-10-28 09:30:11,-110583.49649649649,-73.65477516175133,-181.0
2025-10-28 09:30:12,-110585.49649649649,-72.65477516175133,43.0
2025-10-28 09:30:13,-110585.49649649649,-63.65477516175133,5.0
2025-10-28 09:30:14,-110586.49649649649,5.345224838248669,-162.0
2025-10-28 09:30:15,-110586.49649649649,-16.65477516175133,37.0
2025-10-28 09:30:16,-110588.49649649649,-23.65477516175133,-49.0
2025-10-28 09:30:17,-110585.49649649649,241.3452248382482,-226.0
2025-10-28 09:30:18,-110577.49649649649,738.3452248382482,73.0
2025-10-28 09:30:19,-110577.49649649649,-2919.654775161752,-62.0
2025-10-28 09:30:20,-110577.49649649649,-3579.654775161752,75.0
2025-10-28 09:30:21,-110576.49649649649,-488.65477516175156,22.0
2025-10-28 09:30:22,-110577.49649649649,-259.65477516175156,-45.0
2025-10-28 09:30:23,-110577.49649649649,-223.65477516175156,-70.0
2025-10-28 09:30:24,-110574.49649649649,-70.65477516175156,35.0
2025-10-28 09:30:25,-110574.49649649649,-109.65477516175156,144.0
2025-10-28 09:30:26,-110574.49649649649,-34.6547751617515,-8.0
2025-10-28 09:30:27,-110574.49649649649,-269.6547751617515,195.0
2025-10-28 09:30:28,-110576.49649649649,-323.6547751617515,33.0
2025-10-28 09:30:29,-110576.49649649649,-275.6547751617515,31.0
2025-10-28 09:30:30,-110575.49649649649,-104.6547751617515,-115.0
2025-10-28 09:30:31,-110575.49649649649,-184.65477516175156,-235.0
2025-10-28 09:30:32,-110506.07607607607,-343.707698179952,-124.0
2025-10-28 09:30:33,-110505.07607607607,-383.707698179952,109.0
2025-10-28 09:30:34,-110505.07607607607,-392.707698179952,97.0
2025-10-28 09:30:35,-110433.2402052052,-411.76009720787323,-12.0
2025-10-28 09:30:36,-110359.96043332983,-286.8119774335379,-10.0
2025-10-28 09:30:37,-110357.96043332983,-407.8119774335379,-32.0
2025-10-28 09:30:38,-110359.96043332983,-300.8119774335379,202.0
2025-10-28 09:30:39,-110360.96043332983,-181.8119774335379,-128.0
2025-10-28 09:30:40,-110360.96043332983,-218.8119774335379,106.0
2025-10-28 09:30:41,-110361.96043332983,-567.8119774335379,-43.0
2025-10-28 09:30:42,-110361.96043332983,-590.8119774335379,-9.0
2025-10-28 09:30:43,-110361.96043332983,-552.8119774335379,82.0
2025-10-28 09:30:44,-110360.96043332983,-507.8119774335379,7.0
2025-10-28 09:30:45,-110361.96043332983,-543.8119774335379,-12.0
2025-10-28 09:30:46,-110362.96043332983,-487.8119774335379,-49.0
2025-10-28 09:30:47,-110360.96043332983,-455.8119774335379,19.0
2025-10-28 09:30:48,-110287.20773803977,36.13665600639814,-20.0
2025-10-28 09:30:49,-110212.95251357436,37.085798026136786,-5.0
2025-10-28 09:30:50,-110135.1645590972,-49.96455640976558,-2.0
2025-10-28 09:30:51,-110135.1645590972,7.035443590234422,-75.0
2025-10-28 09:30:52,-110135.1645590972,93.03544359023442,-77.0
2025-10-28 09:30:53,-110055.81306673506,56.98558771310343,16.0
2025-10-28 09:30:54,-109974.86660937643,-0.0637745414817914,105.0
